time;desc;money;type
2025-01-06;"以及研究最后参加., 旗舰店";-486.15;居住
2025-01-11;"星巴克, 旗舰店";-2548.15;餐饮
2025-08-06;"海底捞, 旗舰店";-4546.07;餐饮
2025-04-23;"工资代发";8152.74;工资
2025-01-11;"开发标准因为一切能够.";-3323.24;居住
2025-01-22;"设备设计教育.";-2022.7;理财
2025-01-15;"滴滴出行, 旗舰店";-1752.98;交通
2025-11-24;"工资代发, 旗舰店";14883.77;工资
2025-05-01;"滴滴出行, 旗舰店";-2169.37;交通
2025-03-18;"拼多多, 旗舰店";-4464.99;购物
2025-12-16;"国家社会孩子还有.";-1905.06;理财
2025-07-27;"文化完成., 旗舰店";-3417.06;理财
2025-06-24;"或者商品还是., 旗舰店";-4625.75;转账
2025-08-02;"美团外卖";-3172.24;餐饮
2025-09-30;"沙县小吃, 旗舰店";-4169.9;餐饮
2025-06-01;"工资代发";11669.97;工资
2025-10-09;"搜索加入如此进行., 旗舰店";-3393.05;理财
2025-03-07;"优衣库";-3167.07;购物
2025-02-05;"全国技术直接方式., 旗舰店";-4693.96;居住
2025-09-01;"您的进入表示因为的人.";-3044.15;居住
2025-03-04;"海底捞";-901.45;餐饮
2025-10-29;"两个工程相关可是首页.";-3803.5;理财
2025-06-09;"成为不要都是类别人民.";-2822.16;转账
2025-02-02;"优衣库";-4836.18;购物
2025-08-16;"京东";-2696.66;购物
